County,STATE,ZCTA5CE10,INTPTLAT10,INTPTLON10,BUI,PctPark,fips,popDens,propPOC,POC,Race,medAge,totPop,Urban,Covid19,NDVI,propWht,medInc,Arid,Days
Colleton,South Carolina,29488,+32.9067633,-080.6728361,0,0.0992341084,45029,3.7012808524e-5,0.457018498367791,White majority,White,39.1,22056,Rural,2856.365614798694,0.719,0.542981501632209,36409,0.8093,214
Berkeley,South Carolina,29492,+32.9038016,-079.9028475,7119,7.9397271326,45015,1.01988552747e-4,0.171110437812453,White majority,White,37.8,13202,Rural,3302.529919709135,0.605,0.828889562187547,102106,0.7751,216
Colleton,South Carolina,29493,+33.0341432,-080.8428438,0,0,45029,7.4742809537e-5,0.530487804878049,POC majority,Black,43.6,164,Rural,3048.780487804878,0.753,0.469512195121951,56250,0.7898,214
Florence,South Carolina,29501,+34.2059327,-079.8262599,13894,1.3483795641,45041,3.3448292604e-4,0.404849944105254,White majority,White,39.3,46516,Urban,3658.956058130536,0.649,0.595150055894746,49658,0.7454,216
Florence,South Carolina,29505,+34.1300663,-079.6888932,5859,0.736344184,45041,1.85786658242e-4,0.434406438631791,White majority,White,40.2,24850,Rural,3002.0120724346075,0.706,0.565593561368209,53447,0.7485,216
Florence,South Carolina,29506,+34.2213774,-079.6503362,1560,0.8515132252,45041,6.3427241513e-5,0.710992652355568,POC majority,Black,34.7,20823,Rural,3102.3387600249725,0.717,0.289007347644432,35136,0.7467,216
Williamsburg,South Carolina,29510,+33.4543125,-079.6131213,361,0.9664487147,45089,1.3325894725e-5,0.496616792147146,White majority,White,40,10493,Rural,3545.220623272658,0.733,0.503383207852854,36268,0.7842,211
Horry,South Carolina,29511,+33.9757318,-079.1227159,1138,0.2104414715,45051,3.1332512563e-5,0.114119534697152,White majority,White,41.2,4986,Rural,2085.840352988367,0.694,0.885880465302848,52565,0.8136,221
Marlboro,South Carolina,29512,+34.6190330,-079.7180406,13,1.1678531929,45069,3.239122298e-5,0.655373446265537,POC majority,Black,39.2,18182,Rural,3299.9670003299966,0.722,0.344626553734463,33840,0.7554,215
Marlboro,South Carolina,29516,+34.4373908,-079.6282161,0,0.0695973836,45069,4.294061466e-6,0.607899807321773,POC majority,Mixed,38.5,1038,Rural,1926.7822736030828,0.743,0.392100192678227,37237,0.7465,215
